date,ticker,region,existing_cards,existing_txns,existing_spend,new_cards,new_txns,new_spend
2026-03-02,VRDE,NORTHEAST,4099,546,7256.22,209,23,314.09
2026-03-02,VRDE,SOUTHEAST,3436,510,6864.45,189,21,270.85
2026-03-02,VRDE,MIDWEST,3443,490,6577.36,158,19,235.73
2026-03-02,VRDE,WEST,4277,594,7856.68,186,19,250.25
2026-03-03,VRDE,NORTHEAST,3955,488,6596.66,218,24,304.65
2026-03-03,VRDE,SOUTHEAST,3858,545,7297.94,191,23,301.26
2026-03-03,VRDE,MIDWEST,3228,446,6074.91,177,18,226.95
2026-03-03,VRDE,WEST,4433,538,7295.2,233,25,339.87
2026-03-04,VRDE,NORTHEAST,4379,615,8407.27,223,22,299.6
2026-03-04,VRDE,SOUTHEAST,3900,472,6439.57,183,22,279.93
2026-03-04,VRDE,MIDWEST,3362,464,6107.75,173,19,257.73
2026-03-04,VRDE,WEST,4506,650,8934.26,225,27,363.82
2026-03-05,VRDE,NORTHEAST,4583,561,7781.41,219,24,305.85
2026-03-05,VRDE,SOUTHEAST,4024,503,6908.37,209,20,265.02
2026-03-05,VRDE,MIDWEST,3145,431,6092.82,196,19,241.15
2026-03-05,VRDE,WEST,4790,709,9698.46,218,25,327.6
2026-03-06,VRDE,NORTHEAST,4163,538,7347.28,220,24,317.62
2026-03-06,VRDE,SOUTHEAST,3542,465,6503.06,190,19,260.29
2026-03-06,VRDE,MIDWEST,3454,526,7114.16,165,16,226.03
2026-03-06,VRDE,WEST,5221,671,8883.1,247,26,335.35
2026-03-07,VRDE,NORTHEAST,4133,564,7871.94,219,26,339.01
2026-03-07,VRDE,SOUTHEAST,3848,453,5849.2,209,22,299.23
2026-03-07,VRDE,MIDWEST,3456,504,6967.15,189,21,267.21
2026-03-07,VRDE,WEST,4458,584,7621.91,230,26,338.12
2026-03-08,VRDE,NORTHEAST,4135,493,6648.39,226,28,369.18
2026-03-08,VRDE,SOUTHEAST,3664,473,6769.19,212,27,387.32
2026-03-08,VRDE,MIDWEST,3227,445,6097.48,186,22,286.72
2026-03-08,VRDE,WEST,4667,573,7696.82,230,26,334.34
2026-03-09,VRDE,NORTHEAST,4336,613,8356.37,232,26,336.46
2026-03-09,VRDE,SOUTHEAST,3754,491,6706.9,203,24,296.12
2026-03-09,VRDE,MIDWEST,3514,452,5968.8,178,19,252.28
2026-03-09,VRDE,WEST,4494,567,7459.84,275,31,385.67
2026-03-10,VRDE,NORTHEAST,4208,514,7309.5,202,23,314.1
2026-03-10,VRDE,SOUTHEAST,3511,481,6693.77,214,25,333.61
2026-03-10,VRDE,MIDWEST,3392,466,6268.35,193,20,270.35
2026-03-10,VRDE,WEST,4510,567,7747.79,287,35,444.21
2026-03-11,VRDE,NORTHEAST,4353,570,7663.81,235,21,283.35
2026-03-11,VRDE,SOUTHEAST,3591,463,5973.68,185,19,258.85
2026-03-11,VRDE,MIDWEST,3645,490,6828.78,183,17,228.7
2026-03-11,VRDE,WEST,4730,620,8447.59,269,28,345.35
2026-03-12,VRDE,NORTHEAST,4160,552,7375.38,256,33,420.5
2026-03-12,VRDE,SOUTHEAST,3918,556,7673.16,231,25,338.85
2026-03-12,VRDE,MIDWEST,3706,522,6918.87,199,25,326.4
2026-03-12,VRDE,WEST,4497,660,8582.46,272,31,378.99
2026-03-13,VRDE,NORTHEAST,4463,612,7972.17,253,27,330.76
2026-03-13,VRDE,SOUTHEAST,3655,498,6861.4,220,25,329.87
2026-03-13,VRDE,MIDWEST,3329,479,6492.71,197,23,289.43
2026-03-13,VRDE,WEST,4463,654,8923.67,259,30,383.22
2026-03-14,VRDE,NORTHEAST,4265,549,7479.31,214,27,340.25
2026-03-14,VRDE,SOUTHEAST,3486,461,6161.98,223,23,302.05
2026-03-14,VRDE,MIDWEST,3975,492,6715.79,191,22,263.99
2026-03-14,VRDE,WEST,4361,601,8108.6,305,32,424.68
2026-03-15,VRDE,NORTHEAST,4819,616,8096.16,248,28,374.75
2026-03-15,VRDE,SOUTHEAST,3810,487,6625.18,271,34,389.36
2026-03-15,VRDE,MIDWEST,3341,424,5837.0,196,25,344.7
2026-03-15,VRDE,WEST,4833,655,8834.94,281,35,464.67
2026-03-16,VRDE,NORTHEAST,4132,596,8091.12,251,26,336.95
2026-03-16,VRDE,SOUTHEAST,3665,408,5686.02,237,26,356.78
2026-03-16,VRDE,MIDWEST,3439,471,5885.19,198,23,322.66
2026-03-16,VRDE,WEST,5053,735,9573.17,229,27,351.48
2026-03-17,VRDE,NORTHEAST,4409,585,7957.35,225,26,336.53
2026-03-17,VRDE,SOUTHEAST,3852,529,7126.05,236,27,357.01
2026-03-17,VRDE,MIDWEST,3449,446,5921.31,233,26,353.35
2026-03-17,VRDE,WEST,4718,610,8050.48,284,33,436.48
2026-03-18,VRDE,NORTHEAST,3940,508,6838.47,293,27,355.14
2026-03-18,VRDE,SOUTHEAST,3683,505,6720.34,241,31,403.13
2026-03-18,VRDE,MIDWEST,3438,470,6201.81,217,24,302.91
2026-03-18,VRDE,WEST,4618,609,8408.06,285,31,423.72
2026-03-19,VRDE,NORTHEAST,4414,634,8723.31,261,28,366.53
2026-03-19,VRDE,SOUTHEAST,3965,533,6878.48,236,24,309.86
2026-03-19,VRDE,MIDWEST,3162,390,5289.58,209,20,274.7
2026-03-19,VRDE,WEST,5127,624,8884.92,274,30,383.54
2026-03-20,VRDE,NORTHEAST,3902,561,7691.26,251,28,338.81
2026-03-20,VRDE,SOUTHEAST,3720,524,6714.58,232,26,359.35
2026-03-20,VRDE,MIDWEST,3592,466,6154.77,222,24,311.91
2026-03-20,VRDE,WEST,4877,717,9755.04,290,34,410.93
2026-03-21,VRDE,NORTHEAST,4202,524,7591.38,287,33,422.36
2026-03-21,VRDE,SOUTHEAST,3309,460,6516.27,230,27,366.02
2026-03-21,VRDE,MIDWEST,3104,437,6142.3,221,25,332.73
2026-03-21,VRDE,WEST,4270,572,7974.99,269,33,418.45
2026-03-22,VRDE,NORTHEAST,3769,499,6538.53,282,29,390.76
2026-03-22,VRDE,SOUTHEAST,3646,496,6577.82,241,30,390.84
2026-03-22,VRDE,MIDWEST,3298,406,5677.91,233,25,336.04
2026-03-22,VRDE,WEST,4389,549,7228.76,311,36,453.28
2026-03-23,VRDE,NORTHEAST,4361,608,8248.39,302,33,430.87
2026-03-23,VRDE,SOUTHEAST,3875,514,7114.34,226,28,357.48
2026-03-23,VRDE,MIDWEST,3337,407,5600.06,246,30,404.52
2026-03-23,VRDE,WEST,4267,541,7205.37,284,35,457.02
2026-03-24,VRDE,NORTHEAST,4201,575,7540.88,262,27,364.43
2026-03-24,VRDE,SOUTHEAST,3850,530,7383.2,227,24,319.55
2026-03-24,VRDE,MIDWEST,3138,404,5619.53,246,30,392.66
2026-03-24,VRDE,WEST,4578,648,8652.67,319,40,510.39
2026-03-25,VRDE,NORTHEAST,4078,541,7440.98,297,34,451.56
2026-03-25,VRDE,SOUTHEAST,3483,439,5953.67,238,24,297.33
2026-03-25,VRDE,MIDWEST,3210,422,5521.84,233,30,386.54
2026-03-25,VRDE,WEST,4922,665,8678.58,308,32,429.87
2026-03-26,VRDE,NORTHEAST,3964,568,7799.29,243,29,402.69
2026-03-26,VRDE,SOUTHEAST,3636,511,6528.26,266,26,345.37
2026-03-26,VRDE,MIDWEST,3064,342,4678.3,274,29,396.35
2026-03-26,VRDE,WEST,4653,605,8325.97,361,37,488.11
2026-03-27,VRDE,NORTHEAST,4279,519,7344.97,340,35,492.38
2026-03-27,VRDE,SOUTHEAST,3796,498,7033.27,269,31,429.9
2026-03-27,VRDE,MIDWEST,3582,500,6472.04,205,25,316.5
2026-03-27,VRDE,WEST,4661,578,7764.04,290,37,461.64
2026-03-28,VRDE,NORTHEAST,4181,547,7660.55,264,30,382.79
2026-03-28,VRDE,SOUTHEAST,3886,529,7047.85,273,30,395.79
2026-03-28,VRDE,MIDWEST,3348,426,5747.55,245,33,416.31
2026-03-28,VRDE,WEST,4698,677,8570.36,282,29,372.33
2026-03-29,VRDE,NORTHEAST,4719,639,8944.3,296,27,316.45
2026-03-29,VRDE,SOUTHEAST,3978,532,6908.18,295,29,397.41
2026-03-29,VRDE,MIDWEST,3609,456,5948.98,257,26,356.43
2026-03-29,VRDE,WEST,4350,604,8173.61,320,34,440.06
2026-03-30,VRDE,NORTHEAST,3808,495,6606.82,322,33,453.76
2026-03-30,VRDE,SOUTHEAST,3727,459,6456.68,311,35,433.65
2026-03-30,VRDE,MIDWEST,3368,427,5709.42,274,32,417.86
2026-03-30,VRDE,WEST,4707,620,8585.51,359,39,513.68
2026-03-31,VRDE,NORTHEAST,4714,638,8572.61,360,41,504.78
2026-03-31,VRDE,SOUTHEAST,3913,489,6504.72,285,32,401.66
2026-03-31,VRDE,MIDWEST,3272,417,5825.85,233,25,352.61
2026-03-31,VRDE,WEST,4499,647,9086.47,336,34,444.45
2026-04-01,VRDE,NORTHEAST,4348,607,8215.33,343,43,535.34
2026-04-01,VRDE,SOUTHEAST,4056,541,7179.99,274,36,481.01
2026-04-01,VRDE,MIDWEST,3064,406,5464.43,246,27,326.78
2026-04-01,VRDE,WEST,4826,601,8025.43,327,35,465.8
2026-04-02,VRDE,NORTHEAST,4287,542,7116.1,305,37,483.84
2026-04-02,VRDE,SOUTHEAST,3830,495,6632.42,290,28,385.77
2026-04-02,VRDE,MIDWEST,3232,411,5782.0,258,29,370.46
2026-04-02,VRDE,WEST,4266,569,7954.19,323,41,501.93
2026-04-03,VRDE,NORTHEAST,4052,550,7425.97,338,36,447.11
2026-04-03,VRDE,SOUTHEAST,3432,419,5481.22,255,29,373.61
2026-04-03,VRDE,MIDWEST,3030,459,6038.48,230,28,388.95
2026-04-03,VRDE,WEST,4361,523,6858.11,384,42,531.68
2026-04-04,VRDE,NORTHEAST,4200,593,7669.9,314,31,445.35
2026-04-04,VRDE,SOUTHEAST,4130,574,7726.77,307,29,378.77
2026-04-04,VRDE,MIDWEST,3140,380,5028.21,252,30,397.43
2026-04-04,VRDE,WEST,4688,582,8017.68,353,44,545.91
2026-04-05,VRDE,NORTHEAST,3625,463,6655.54,340,38,508.5
2026-04-05,VRDE,SOUTHEAST,3881,524,6971.85,297,34,431.04
2026-04-05,VRDE,MIDWEST,3177,421,5852.43,276,32,429.08
2026-04-05,VRDE,WEST,5225,698,9715.19,417,47,620.86
2026-04-06,VRDE,NORTHEAST,4426,640,8726.6,341,39,479.83
2026-04-06,VRDE,SOUTHEAST,3997,517,6622.67,295,29,357.93
2026-04-06,VRDE,MIDWEST,3368,418,5828.5,234,27,358.85
2026-04-06,VRDE,WEST,4966,689,9368.1,367,41,561.29
2026-04-07,VRDE,NORTHEAST,4070,551,7423.29,342,38,533.82
2026-04-07,VRDE,SOUTHEAST,3663,488,6651.22,317,37,490.22
2026-04-07,VRDE,MIDWEST,3532,422,5702.35,242,28,345.06
2026-04-07,VRDE,WEST,4408,577,8117.43,386,45,613.55
2026-04-08,VRDE,NORTHEAST,4010,460,6137.75,332,41,581.61
2026-04-08,VRDE,SOUTHEAST,3536,533,7537.77,326,38,540.92
2026-04-08,VRDE,MIDWEST,3381,431,5847.36,242,28,367.18
2026-04-08,VRDE,WEST,4707,631,8253.03,413,43,577.05
2026-04-09,VRDE,NORTHEAST,3874,519,6841.96,344,37,437.93
2026-04-09,VRDE,SOUTHEAST,3577,471,6481.68,273,25,321.1
2026-04-09,VRDE,MIDWEST,3332,420,5540.09,293,36,478.07
