week_start,fiscal_quarter,active_cards,transactions,total_spend,avg_ticket,new_cust_cards,new_cust_spend,new_cust_txns,existing_cust_cards,existing_cust_spend,existing_cust_txns,Cust_freq,,
3/2/26,Q1,8819,8119,111803.1,13.77,946,10351.6,799,7873,101451.5,7319,0.930,,
3/9/26,Q1,9036,8714,123106.7,14.13,998,10629.4,805,8038,112477.3,7910,0.984,,
3/16/26,Q1,8874,7920,110133.9,13.91,1178,12925.3,941,7697,97208.6,6979,0.907,,
3/23/26,Q1,9403,8711,121341.8,13.93,1180,12649.9,964,8223,108692.0,7748,0.942,,
3/30/26,Q1,9425,8373,116469.5,13.91,1323,14470.1,1079,8102,101999.4,7294,0.900,,
4/6/26,Q1,9405,8901,125642.4,14.12,1452,17138.4,1215,7953,108504.0,7687,0.967,,
4/13/26,Q1,9503,8737,124610.3,14.26,1553,16567.1,1202,7950,108043.2,7535,0.948,,
4/20/26,Q1,9603,8791,122826.0,13.97,1554,15862.9,1130,8049,106963.1,7661,0.952,,
4/27/26,Q1,9651,8459,116626.7,13.79,1694,18099.0,1361,7957,98527.7,7098,0.892,,
5/4/26,Q1,9794,8843,121408.0,13.73,1831,18436.5,1429,7964,102971.6,7414,0.931,,
5/11/26,Q1,9999,8760,121955.5,13.92,1883,21060.9,1505,8115,100894.6,7255,0.894,,
5/18/26,Q1,10193,9007,123375.5,13.7,2111,23780.2,1801,8082,99595.3,7206,0.892,,
5/25/26,Q1,10201,8990,124797.5,13.88,2211,23030.1,1691,7990,101767.4,7300,0.914,0.927,
6/1/26,Q2,10074,9064,129413.8,14.28,2088,23520.4,1721,7986,105893.4,7343,0.919,0.896,-3%
6/8/26,Q2,10225,9027,125435.5,13.9,2199,24382.4,1826,8026,101053.1,7202,0.897,,
6/15/26,Q2,10250,8797,124777.2,14.18,2348,26869.8,1913,7902,97907.4,6883,0.871,,
6/22/26,Q2,10528,9006,125667.3,13.95,2592,30444.2,2166,7935,95223.0,6840,0.862,,
6/29/26,Q2,12640,11160,157636.3,14.13,3339,36155.8,2622,9301,121480.5,8538,0.918,,
7/6/26,Q2,12335,10639,146688.3,13.79,3159,33532.2,2459,9176,113156.2,8181,0.892,,
7/13/26,Q2,12310,10772,150509.0,13.97,3363,38405.7,2802,8947,112103.3,7970,0.891,,
7/20/26,Q2,12415,11147,160281.7,14.38,3303,36332.2,2719,9112,123949.5,8428,0.925,,
7/27/26,Q2,12742,10747,150198.9,13.98,3421,39309.8,2889,9321,110889.2,7857,0.843,,
8/3/26,Q2,12560,11228,160366.1,14.28,3402,37472.5,2745,9157,122893.6,8483,0.926,,
8/10/26,Q2,12981,11842,167090.1,14.11,3808,43648.0,3244,9173,123442.2,8598,0.937,,
8/17/26,Q2,13400,11559,163574.7,14.15,4082,44971.4,3229,9318,118603.3,8330,0.894,,
8/24/26,Q2,13532,11355,158052.2,13.92,3996,40753.0,3061,9536,117299.3,8294,0.870,,
,,,,,,,,,,,,,,
week_start,app_downloads,weekly_active_users,sessions_per_wau,,,,,,,,,,,
3/2/26,19547,319950,3.44,93008.7,,,,,,,,,,
3/9/26,18590,306364,3.4,90107.1,,,,,,,,,,
3/16/26,22444,323548,3.34,96870.7,,,,,,,,,,
3/23/26,23698,330242,3.39,97416.5,,,,,,,,,,
3/30/26,24539,330116,3.41,96808.2,,,,,,,,,,
4/6/26,28361,324004,3.27,99083.8,,,,,,,,,,
4/13/26,26908,292191,3.33,87745.0,,,,,,,,,,
4/20/26,25395,337957,3.32,101794.3,,,,,,,,,,
4/27/26,31276,336757,3.26,103299.7,,,,,,,,,,
5/4/26,27236,335044,3.25,103090.5,,,,,,,,,,
5/11/26,30663,349983,3.18,110057.5,,,,,,,,,,
5/18/26,31581,347952,3.2,108735.0,,,,,,,,,,
5/25/26,30019,350532,3.16,110927.8,,,,,,,,,,
6/1/26,34607,335951,3.21,104657.6,,,,,,,,,,
