week_start,total_job_postings,new_location_postings
2026-03-02,202,40
2026-03-09,175,37
2026-03-16,206,40
2026-03-23,216,52
2026-03-30,222,53
2026-04-06,254,53
2026-04-13,270,49
2026-04-20,257,56
2026-04-27,262,66
2026-05-04,243,69
2026-05-11,252,76
2026-05-18,291,84
2026-05-25,287,76
2026-06-01,273,85
2026-06-08,304,84
2026-06-15,322,85
2026-06-22,342,89
2026-06-29,331,102
2026-07-06,336,90
2026-07-13,351,110
2026-07-20,364,116
2026-07-27,343,108
2026-08-03,397,113
2026-08-10,438,101
2026-08-17,415,139
2026-08-24,370,129
