week_start,app_downloads,weekly_active_users,sessions_per_wau
2026-03-02,19547,319950,3.44
2026-03-09,18590,306364,3.4
2026-03-16,22444,323548,3.34
2026-03-23,23698,330242,3.39
2026-03-30,24539,330116,3.41
2026-04-06,28361,324004,3.27
2026-04-13,26908,292191,3.33
2026-04-20,25395,337957,3.32
2026-04-27,31276,336757,3.26
2026-05-04,27236,335044,3.25
2026-05-11,30663,349983,3.18
2026-05-18,31581,347952,3.2
2026-05-25,30019,350532,3.16
2026-06-01,34607,335951,3.21
2026-06-08,33890,339267,3.2
2026-06-15,35228,361980,3.19
2026-06-22,34011,362024,3.24
2026-06-29,38505,365917,3.19
2026-07-06,35503,369434,3.15
2026-07-13,34665,375377,3.13
2026-07-20,41779,374405,3.1
2026-07-27,39098,378985,3.15
2026-08-03,40989,383323,3.13
2026-08-10,45873,394296,3.24
2026-08-17,45232,380828,3.22
2026-08-24,45134,399201,3.21
